id_genesynonym;id_ENSEMBL;name_genesynonym
ENSG00000108064_TCF6;ENSG00000108064;TCF6
ENSG00000108064_TCF6L1;ENSG00000108064;TCF6L1
ENSG00000108064_TCF6L2;ENSG00000108064;TCF6L2
ENSG00000108064_TCF6L3;ENSG00000108064;TCF6L3
ENSG00000137203_AP-2;ENSG00000137203;AP-2
ENSG00000137203_AP-2alpha;ENSG00000137203;AP-2alpha
ENSG00000137203_AP2TF;ENSG00000137203;AP2TF
ENSG00000137203_BOFS;ENSG00000137203;BOFS
ENSG00000137203_TFAP2;ENSG00000137203;TFAP2
ENSG00000008196_AP-2B;ENSG00000008196;AP-2B
ENSG00000008196_AP2-B;ENSG00000008196;AP2-B
ENSG00000008196_PDA2;ENSG00000008196;PDA2
ENSG00000087510_AP2-GAMMA;ENSG00000087510;AP2-GAMMA
ENSG00000087510_ERF1;ENSG00000087510;ERF1
ENSG00000087510_TFAP2G;ENSG00000087510;TFAP2G
ENSG00000087510_hAP-2g;ENSG00000087510;hAP-2g
ENSG00000090447_AP-4;ENSG00000090447;AP-4
ENSG00000090447_bHLHc41;ENSG00000090447;bHLHc41
ENSG00000135457_LBP1C;ENSG00000135457;LBP1C
ENSG00000135457_LSF;ENSG00000135457;LSF
ENSG00000135457_LSF1D;ENSG00000135457;LSF1D
ENSG00000135457_SEF;ENSG00000135457;SEF
ENSG00000135457_TFCP2C;ENSG00000135457;TFCP2C
ENSG00000175745_BBOAS;ENSG00000175745;BBOAS
ENSG00000175745_BBSOAS;ENSG00000175745;BBSOAS
ENSG00000175745_COUP-TFI;ENSG00000175745;COUP-TFI
ENSG00000175745_EAR-3;ENSG00000175745;EAR-3
ENSG00000175745_EAR3;ENSG00000175745;EAR3
ENSG00000175745_ERBAL3;ENSG00000175745;ERBAL3
ENSG00000175745_NR2F2;ENSG00000175745;NR2F2
ENSG00000175745_SVP44;ENSG00000175745;SVP44
ENSG00000175745_TCFCOUP1;ENSG00000175745;TCFCOUP1
ENSG00000175745_TFCOUP1;ENSG00000175745;TFCOUP1
ENSG00000185551_ARP1;ENSG00000185551;ARP1
ENSG00000185551_CHTD4;ENSG00000185551;CHTD4
ENSG00000185551_COUPTFB;ENSG00000185551;COUPTFB
ENSG00000185551_COUPTFII;ENSG00000185551;COUPTFII
ENSG00000185551_NF-E3;ENSG00000185551;NF-E3
ENSG00000185551_NR2F1;ENSG00000185551;NR2F1
ENSG00000185551_SVP40;ENSG00000185551;SVP40
ENSG00000185551_TFCOUP2;ENSG00000185551;TFCOUP2
ENSG00000198176_DILC;ENSG00000198176;DILC
ENSG00000198176_DP1;ENSG00000198176;DP1
ENSG00000198176_DRTF1;ENSG00000198176;DRTF1
ENSG00000198176_Dp-1;ENSG00000198176;Dp-1
ENSG00000114126_DP2;ENSG00000114126;DP2
ENSG00000068323_RCCP2;ENSG00000068323;RCCP2
ENSG00000068323_RCCX1;ENSG00000068323;RCCX1
ENSG00000068323_TFEA;ENSG00000068323;TFEA
ENSG00000068323_bHLHe33;ENSG00000068323;bHLHe33
ENSG00000160182_BCEI;ENSG00000160182;BCEI
ENSG00000160182_D21S21;ENSG00000160182;D21S21
ENSG00000160182_HP1.A;ENSG00000160182;HP1.A
ENSG00000160182_HPS2;ENSG00000160182;HPS2
ENSG00000160182_pNR-2;ENSG00000160182;pNR-2
ENSG00000160182_pS2;ENSG00000160182;pS2
ENSG00000160181_SML1;ENSG00000160181;SML1
ENSG00000160181_SP;ENSG00000160181;SP
ENSG00000160180_ITF;ENSG00000160180;ITF
ENSG00000160180_P1B;ENSG00000160180;P1B
ENSG00000160180_TFI;ENSG00000160180;TFI
ENSG00000003436_EPI;ENSG00000003436;EPI
ENSG00000003436_LACI;ENSG00000003436;LACI
ENSG00000003436_TFI;ENSG00000003436;TFI
ENSG00000003436_TFPI1;ENSG00000003436;TFPI1
ENSG00000106327_HFE3;ENSG00000106327;HFE3
ENSG00000106327_TFRC2;ENSG00000106327;TFRC2
ENSG00000072274_CD71;ENSG00000072274;CD71
ENSG00000072274_IMD46;ENSG00000072274;IMD46
ENSG00000072274_T9;ENSG00000072274;T9
ENSG00000072274_TFR;ENSG00000072274;TFR
ENSG00000072274_TFR1;ENSG00000072274;TFR1
ENSG00000072274_TR;ENSG00000072274;TR
ENSG00000072274_TRFR;ENSG00000072274;TRFR
ENSG00000072274_p90;ENSG00000072274;p90
ENSG00000042832_AITD3;ENSG00000042832;AITD3
ENSG00000042832_TGN;ENSG00000042832;TGN
ENSG00000163235_TFGA;ENSG00000163235;TFGA
ENSG00000105329_CED;ENSG00000105329;CED
ENSG00000105329_DPD1;ENSG00000105329;DPD1
ENSG00000105329_LAP;ENSG00000105329;LAP
ENSG00000105329_TGFB;ENSG00000105329;TGFB
ENSG00000105329_TGFbeta;ENSG00000105329;TGFbeta
ENSG00000140682_ARA55;ENSG00000140682;ARA55
ENSG00000140682_HIC-5;ENSG00000140682;HIC-5
ENSG00000140682_HIC5;ENSG00000140682;HIC5
ENSG00000140682_TSC-5;ENSG00000140682;TSC-5
ENSG00000092969_G-TSF;ENSG00000092969;G-TSF
ENSG00000092969_LDS4;ENSG00000092969;LDS4
ENSG00000092969_TGF-beta2;ENSG00000092969;TGF-beta2
ENSG00000119699_ARVD;ENSG00000119699;ARVD
ENSG00000119699_ARVD1;ENSG00000119699;ARVD1
ENSG00000119699_LDS5;ENSG00000119699;LDS5
ENSG00000119699_RNHF;ENSG00000119699;RNHF
ENSG00000119699_TGF-beta3;ENSG00000119699;TGF-beta3
ENSG00000143768_EBAF;ENSG00000143768;EBAF
ENSG00000143768_LEFTA;ENSG00000143768;LEFTA
ENSG00000143768_LEFTYA;ENSG00000143768;LEFTYA
ENSG00000143768_TGFB4;ENSG00000143768;TGFB4
ENSG00000120708_BIGH3;ENSG00000120708;BIGH3
ENSG00000120708_CDB1;ENSG00000120708;CDB1
ENSG00000120708_CDG2;ENSG00000120708;CDG2
ENSG00000120708_CDGG1;ENSG00000120708;CDGG1
ENSG00000120708_CSD;ENSG00000120708;CSD
ENSG00000120708_CSD1;ENSG00000120708;CSD1
ENSG00000120708_CSD2;ENSG00000120708;CSD2
ENSG00000120708_CSD3;ENSG00000120708;CSD3
ENSG00000120708_EBMD;ENSG00000120708;EBMD
ENSG00000120708_LCD1;ENSG00000120708;LCD1
ENSG00000106799_AAT5;ENSG00000106799;AAT5
ENSG00000106799_ACVRLK4;ENSG00000106799;ACVRLK4
ENSG00000106799_ALK-5;ENSG00000106799;ALK-5
ENSG00000106799_ALK5;ENSG00000106799;ALK5
ENSG00000106799_ESS1;ENSG00000106799;ESS1
ENSG00000106799_LDS1;ENSG00000106799;LDS1
ENSG00000106799_LDS1A;ENSG00000106799;LDS1A
ENSG00000106799_LDS2A;ENSG00000106799;LDS2A
ENSG00000106799_MSSE;ENSG00000106799;MSSE
ENSG00000106799_SKR4;ENSG00000106799;SKR4
ENSG00000106799_TBR-i;ENSG00000106799;TBR-i
ENSG00000106799_TBRI;ENSG00000106799;TBRI
ENSG00000106799_TGFR-1;ENSG00000106799;TGFR-1
ENSG00000106799_tbetaR-I;ENSG00000106799;tbetaR-I
ENSG00000163810_TGP;ENSG00000163810;TGP
ENSG00000163810_hTGP;ENSG00000163810;hTGP
ENSG00000163513_AAT3;ENSG00000163513;AAT3
ENSG00000163513_FAA3;ENSG00000163513;FAA3
ENSG00000163513_LDS1B;ENSG00000163513;LDS1B
ENSG00000163513_LDS2;ENSG00000163513;LDS2
ENSG00000163513_LDS2B;ENSG00000163513;LDS2B
ENSG00000163513_MFS2;ENSG00000163513;MFS2
ENSG00000163513_RIIC;ENSG00000163513;RIIC
ENSG00000163513_TAAD2;ENSG00000163513;TAAD2
ENSG00000163513_TBR-ii;ENSG00000163513;TBR-ii
ENSG00000163513_TBRII;ENSG00000163513;TBRII
ENSG00000163513_TGFR-2;ENSG00000163513;TGFR-2
ENSG00000163513_TGFbeta-RII;ENSG00000163513;TGFbeta-RII
ENSG00000069702_BGCAN;ENSG00000069702;BGCAN
ENSG00000069702_betaglycan;ENSG00000069702;betaglycan
ENSG00000177426_HPE4;ENSG00000177426;HPE4
ENSG00000177426_TGIF;ENSG00000177426;TGIF
ENSG00000092295_ARCI1;ENSG00000092295;ARCI1
ENSG00000092295_ICR2;ENSG00000092295;ICR2
ENSG00000092295_KTG;ENSG00000092295;KTG
ENSG00000092295_LI;ENSG00000092295;LI
ENSG00000092295_LI1;ENSG00000092295;LI1
ENSG00000092295_TGASE;ENSG00000092295;TGASE
ENSG00000092295_TGK;ENSG00000092295;TGK
ENSG00000198959_TG(C);ENSG00000198959;TG(C)
ENSG00000198959_TGC;ENSG00000198959;TGC
ENSG00000125780_TGE;ENSG00000125780;TGE
ENSG00000125780_UHS2;ENSG00000125780;UHS2
ENSG00000180176_DYT14;ENSG00000180176;DYT14
ENSG00000180176_DYT5b;ENSG00000180176;DYT5b
ENSG00000180176_TYH;ENSG00000180176;TYH
ENSG00000178726_AHUS6;ENSG00000178726;AHUS6
ENSG00000178726_BDCA3;ENSG00000178726;BDCA3
ENSG00000178726_CD141;ENSG00000178726;CD141
ENSG00000178726_THPH12;ENSG00000178726;THPH12
ENSG00000178726_THRM;ENSG00000178726;THRM
ENSG00000178726_TM;ENSG00000178726;TM
ENSG00000137801_THBS;ENSG00000137801;THBS
ENSG00000137801_THBS-1;ENSG00000137801;THBS-1
ENSG00000137801_TSP;ENSG00000137801;TSP
ENSG00000137801_TSP-1;ENSG00000137801;TSP-1
ENSG00000137801_TSP1;ENSG00000137801;TSP1
ENSG00000186340_TSP2;ENSG00000186340;TSP2
ENSG00000169231_TSP3;ENSG00000169231;TSP3
ENSG00000113296_TSP-4;ENSG00000113296;TSP-4
ENSG00000113296_TSP4;ENSG00000113296;TSP4
ENSG00000159450_THH;ENSG00000159450;THH
ENSG00000159450_THL;ENSG00000159450;THL
ENSG00000159450_TRHY;ENSG00000159450;TRHY
ENSG00000159450_UHS3;ENSG00000159450;UHS3
ENSG00000172009_EP24.15;ENSG00000172009;EP24.15
ENSG00000172009_MEPD_HUMAN;ENSG00000172009;MEPD_HUMAN
ENSG00000172009_MP78;ENSG00000172009;MP78
ENSG00000172009_TOP;ENSG00000172009;TOP
ENSG00000090534_MGDF;ENSG00000090534;MGDF
ENSG00000090534_MKCSF;ENSG00000090534;MKCSF
ENSG00000090534_ML;ENSG00000090534;ML
ENSG00000090534_MPLLG;ENSG00000090534;MPLLG
ENSG00000090534_THCYT1;ENSG00000090534;THCYT1
ENSG00000090534_TPO;ENSG00000090534;TPO
ENSG00000126351_AR7;ENSG00000126351;AR7
ENSG00000126351_CHNG6;ENSG00000126351;CHNG6
ENSG00000126351_EAR7;ENSG00000126351;EAR7
ENSG00000126351_ERB-T-1;ENSG00000126351;ERB-T-1
ENSG00000126351_ERBA;ENSG00000126351;ERBA
ENSG00000126351_ERBA1;ENSG00000126351;ERBA1
ENSG00000126351_NR1A1;ENSG00000126351;NR1A1
ENSG00000126351_THRA1;ENSG00000126351;THRA1
ENSG00000126351_THRA2;ENSG00000126351;THRA2
ENSG00000126351_c-ERBA-1;ENSG00000126351;c-ERBA-1
ENSG00000151090_C-ERBA-2;ENSG00000151090;C-ERBA-2
ENSG00000151090_C-ERBA-BETA;ENSG00000151090;C-ERBA-BETA
ENSG00000151090_ERBA2;ENSG00000151090;ERBA2
ENSG00000151090_GRTH;ENSG00000151090;GRTH
ENSG00000151090_NR1A2;ENSG00000151090;NR1A2
ENSG00000151090_PRTH;ENSG00000151090;PRTH
ENSG00000151090_THR1;ENSG00000151090;THR1
ENSG00000151090_THRB1;ENSG00000151090;THRB1
ENSG00000151090_THRB2;ENSG00000151090;THRB2
ENSG00000151365_LPGP1;ENSG00000151365;LPGP1
ENSG00000151365_Lpgp;ENSG00000151365;Lpgp
ENSG00000151365_S14;ENSG00000151365;S14
ENSG00000151365_SPOT14;ENSG00000151365;SPOT14
ENSG00000151365_THRP;ENSG00000151365;THRP
ENSG00000154096_CD90;ENSG00000154096;CD90
ENSG00000154096_CDw90;ENSG00000154096;CDw90
ENSG00000155090_EGR-alpha;ENSG00000155090;EGR-alpha
ENSG00000155090_EGRA;ENSG00000155090;EGRA
ENSG00000155090_TIEG;ENSG00000155090;TIEG
ENSG00000155090_TIEG1;ENSG00000155090;TIEG1
ENSG00000116001_TIA-1;ENSG00000116001;TIA-1
ENSG00000116001_WDM;ENSG00000116001;WDM
ENSG00000151923_TCBP;ENSG00000151923;TCBP
ENSG00000151923_TIAR;ENSG00000151923;TIAR
ENSG00000156299_TIAM-1;ENSG00000156299;TIAM-1
ENSG00000066056_JTK14;ENSG00000066056;JTK14
ENSG00000066056_TIE;ENSG00000066056;TIE
ENSG00000102265_CLGI;ENSG00000102265;CLGI
ENSG00000102265_EPA;ENSG00000102265;EPA
ENSG00000102265_EPO;ENSG00000102265;EPO
ENSG00000102265_HCI;ENSG00000102265;HCI
ENSG00000102265_TIMP;ENSG00000102265;TIMP
ENSG00000102265_TIMP-1;ENSG00000102265;TIMP-1
ENSG00000035862_CSC-21K;ENSG00000035862;CSC-21K
ENSG00000035862_DDC8;ENSG00000035862;DDC8
ENSG00000100234_HSMRK222;ENSG00000100234;HSMRK222
ENSG00000100234_K222;ENSG00000100234;K222
ENSG00000100234_K222TA2;ENSG00000100234;K222TA2
ENSG00000100234_SFD;ENSG00000100234;SFD
ENSG00000157150_TIMP-4;ENSG00000157150;TIMP-4
ENSG00000136352_BCH;ENSG00000136352;BCH
ENSG00000136352_BHC;ENSG00000136352;BHC
ENSG00000136352_NK-2;ENSG00000136352;NK-2
ENSG00000136352_NKX2.1;ENSG00000136352;NKX2.1
ENSG00000136352_NKX2A;ENSG00000136352;NKX2A
ENSG00000136352_NMTC1;ENSG00000136352;NMTC1
ENSG00000136352_T/EBP;ENSG00000136352;T/EBP
ENSG00000136352_TEBP;ENSG00000136352;TEBP
ENSG00000136352_TITF1;ENSG00000136352;TITF1
ENSG00000136352_TTF-1;ENSG00000136352;TTF-1
ENSG00000136352_TTF1;ENSG00000136352;TTF1
ENSG00000104067_ZO-1;ENSG00000104067;ZO-1
ENSG00000167900_TK2;ENSG00000167900;TK2
ENSG00000166548_MTDPS2;ENSG00000166548;MTDPS2
ENSG00000166548_MTTK;ENSG00000166548;MTTK
ENSG00000166548_PEOB3;ENSG00000166548;PEOB3
ENSG00000166548_SCA31;ENSG00000166548;SCA31
ENSG00000163931_HEL-S-48;ENSG00000163931;HEL-S-48
ENSG00000163931_HEL107;ENSG00000163931;HEL107
ENSG00000163931_SDDHD;ENSG00000163931;SDDHD
ENSG00000163931_TK;ENSG00000163931;TK
ENSG00000163931_TKT1;ENSG00000163931;TKT1
ENSG00000105376_TLCN;ENSG00000105376;TLCN
ENSG00000105376_TLN;ENSG00000105376;TLN
ENSG00000196781_ESG;ENSG00000196781;ESG
ENSG00000196781_ESG1;ENSG00000196781;ESG1
ENSG00000196781_GRG1;ENSG00000196781;GRG1
ENSG00000065717_ESG;ENSG00000065717;ESG
ENSG00000065717_ESG2;ENSG00000065717;ESG2
ENSG00000065717_GRG2;ENSG00000065717;GRG2
ENSG00000140332_ESG;ENSG00000140332;ESG
ENSG00000140332_ESG3;ENSG00000140332;ESG3
ENSG00000140332_GRG3;ENSG00000140332;GRG3
ENSG00000140332_HsT18976;ENSG00000140332;HsT18976
ENSG00000106829_BCE-1;ENSG00000106829;BCE-1
ENSG00000106829_BCE1;ENSG00000106829;BCE1
ENSG00000106829_E(spI);ENSG00000106829;E(spI)
ENSG00000106829_ESG;ENSG00000106829;ESG
ENSG00000106829_ESG4;ENSG00000106829;ESG4
ENSG00000106829_GRG4;ENSG00000106829;GRG4
ENSG00000106829_Grg-4;ENSG00000106829;Grg-4
ENSG00000038295_ASD6;ENSG00000038295;ASD6
ENSG00000038295_TLL;ENSG00000038295;TLL
ENSG00000137076_ILWEQ;ENSG00000137076;ILWEQ
ENSG00000137076_TLN;ENSG00000137076;TLN
ENSG00000137076_talin-1;ENSG00000137076;talin-1
ENSG00000008952_Dtrp1;ENSG00000008952;Dtrp1
ENSG00000008952_HTP1;ENSG00000008952;HTP1
ENSG00000008952_TLOC1;ENSG00000008952;TLOC1
ENSG00000008952_TP-1;ENSG00000008952;TP-1
ENSG00000174125_CD281;ENSG00000174125;CD281
ENSG00000174125_TIL;ENSG00000174125;TIL
ENSG00000174125_TIL. LPRS5;ENSG00000174125;TIL. LPRS5
ENSG00000174125_rsc786;ENSG00000174125;rsc786
ENSG00000137462_CD282;ENSG00000137462;CD282
ENSG00000137462_TIL4;ENSG00000137462;TIL4
ENSG00000164342_CD283;ENSG00000164342;CD283
ENSG00000164342_IIAE2;ENSG00000164342;IIAE2
ENSG00000136869_ARMD10;ENSG00000136869;ARMD10
ENSG00000136869_CD284;ENSG00000136869;CD284
ENSG00000136869_TLR-4;ENSG00000136869;TLR-4
ENSG00000136869_TOLL;ENSG00000136869;TOLL
ENSG00000187554_MELIOS;ENSG00000187554;MELIOS
ENSG00000187554_SLE1;ENSG00000187554;SLE1
ENSG00000187554_SLEB1;ENSG00000187554;SLEB1
ENSG00000187554_TIL3;ENSG00000187554;TIL3
ENSG00000112333_TLL;ENSG00000112333;TLL
ENSG00000112333_TLX;ENSG00000112333;TLX
ENSG00000112333_XTLL;ENSG00000112333;XTLL
ENSG00000156298_A15;ENSG00000156298;A15
ENSG00000156298_CCG-B7;ENSG00000156298;CCG-B7
ENSG00000156298_CD231;ENSG00000156298;CD231
ENSG00000156298_DXS1692E;ENSG00000156298;DXS1692E
ENSG00000156298_MRX58;ENSG00000156298;MRX58
ENSG00000156298_MXS1;ENSG00000156298;MXS1
ENSG00000156298_TALLA-1;ENSG00000156298;TALLA-1
ENSG00000156298_TM4SF2;ENSG00000156298;TM4SF2
ENSG00000156298_TM4SF2b;ENSG00000156298;TM4SF2b
ENSG00000127324_CO-029;ENSG00000127324;CO-029
ENSG00000127324_TM4SF3;ENSG00000127324;TM4SF3
ENSG00000169903_ILTMP;ENSG00000169903;ILTMP
ENSG00000169903_il-TMP;ENSG00000169903;il-TMP
ENSG00000000003_T245;ENSG00000000003;T245
ENSG00000000003_TM4SF6;ENSG00000000003;TM4SF6
ENSG00000000003_TSPAN-6;ENSG00000000003;TSPAN-6
ENSG00000214063_NAG-2;ENSG00000214063;NAG-2
ENSG00000214063_NAG2;ENSG00000214063;NAG2
ENSG00000214063_TETRASPAN;ENSG00000214063;TETRASPAN
ENSG00000214063_TM4SF7;ENSG00000214063;TM4SF7
ENSG00000214063_TSPAN-4;ENSG00000214063;TSPAN-4
ENSG00000077585_TM7SF1;ENSG00000077585;TM7SF1
ENSG00000149809_ANG1;ENSG00000149809;ANG1
